year,month,day,OFFICE,IMPORTER.TIN,TARIFF.CODE,ORIGIN.CODE,CIF_USD_EQUIVALENT,QUANTITY,GROSS.WEIGHT,TOTAL.TAXES.USD,RAISED_TAX_AMOUNT_USD,illicit
2013,1,1,OFFICE60,IMP545640,8703232225,CNTRY680,172710,1,28487,3492,0,0
2013,1,1,OFFICE24,IMP252323,8703321220,CNTRY376,7450,1,185994,503,0,0
2013,1,1,OFFICE59,IMP194834,8704212025,CNTRY680,2684,1,452843,5706,0,0
2013,1,1,OFFICE60,IMP668188,3901100000,CNTRY277,7412,2018,26546,3182,0,0
2013,1,1,OFFICE59,IMP395619,8517180000,CNTRY759,2786,7044,1958,587,0,0
2013,1,1,OFFICE40,IMP450852,8703242100,CNTRY759,4392,86,1903,3407,0,0
2013,1,1,OFFICE92,IMP911330,8517180000,CNTRY680,4096,1,275893,518,0,0
2013,1,1,OFFICE59,IMP450852,4911100000,CNTRY680,3804,4,299332,3056,0,0
2013,1,1,OFFICE51,IMP514650,8703232926,CNTRY376,121638,1,1856,9665,0,0
2013,1,1,OFFICE40,IMP450969,8702101319,CNTRY562,2779,21,4067,4523,0,0
2013,1,1,OFFICE92,IMP158220,8703331928,CNTRY759,166675,38,184606,34478,0,0
2013,1,1,OFFICE51,IMP173637,8703321922,CNTRY830,10377,1,455845,561,0,0
2013,1,1,OFFICE51,IMP705884,8703232926,CNTRY759,25755,5,27649,8820,0,0
2013,1,1,OFFICE51,IMP697888,8907100000,CNTRY891,19105,924,102272,2210,1464,1
2013,1,1,OFFICE59,IMP741011,8481300000,CNTRY615,36080,1637,1084,425,0,0
2013,1,1,OFFICE92,IMP762355,8535290000,CNTRY713,39718,5384,1584,7748,0,0
2013,1,1,OFFICE40,IMP468811,8702101319,CNTRY680,2298,34243,503521,9202,0,0
2013,1,1,OFFICE51,IMP450852,8703232926,CNTRY680,574507,3402,423966,4191,0,0
2013,1,1,OFFICE59,IMP720753,8517180000,CNTRY759,8599,219,33141,3018,0,0
2013,1,1,OFFICE51,IMP638768,8703900000,CNTRY680,9111,35,1104,2729,0,0
2013,1,1,OFFICE59,IMP993091,8703241128,CNTRY615,109214,1,1700,3099,0,0
2013,1,1,OFFICE60,IMP331888,8703210011,CNTRY454,4147,9082,1669,4690,0,0
2013,1,1,OFFICE23,IMP346397,3904100000,CNTRY759,2227,9248,202893,636,0,0
2013,1,1,OFFICE59,IMP582640,8703222900,CNTRY680,161602,12110,414,3704,0,0
2013,1,1,OFFICE40,IMP575285,4011500000,CNTRY562,4321,1,117073,3527,0,0
2013,1,1,OFFICE51,IMP129307,8703241128,CNTRY680,2597,1,691140,4318,0,0
2013,1,1,OFFICE59,IMP465411,5801900000,CNTRY680,146377,3140,294298,4001,0,0
2013,1,1,OFFICE51,IMP142940,8703241128,CNTRY759,68778,1,1226,2883,0,0
2013,1,1,OFFICE16,IMP275266,4802690000,CNTRY264,2447,68,2438,29543,948,1
