,year,month,day,OFFICE,IMPORTER.TIN,TARIFF.CODE,ORIGIN.CODE,CIF_USD_EQUIVALENT,QUANTITY,GROSS.WEIGHT,TOTAL.TAXES.USD,RAISED_TAX_AMOUNT_USD,illicit,formatted_date
198383,2014,12,24,OFFICE174,IMPO19842,7407211000,CNTRY123,76.0,12.0,23666.0,422.0,0.0,False,2014-12-24
198384,2014,12,24,OFFICE122,IMPO15535,8708999792,CNTRY994,288.0,3.0,502.0,0.0,0.0,False,2014-12-24
198385,2014,12,24,OFFICE127,IMPO15485,4821909000,CNTRY994,38356.0,1219.0,17.0,12.0,0.0,False,2014-12-24
198386,2014,12,24,OFFICE296,IMPO17483,8714961000,CNTRY976,14828.0,9161.0,48981.0,0.0,0.0,False,2014-12-24
198387,2014,12,24,OFFICE178,IMPO11570,5516220000,CNTRY920,18.0,95.0,16641.0,3491.0,1197.0,True,2014-12-24
198388,2014,12,24,OFFICE197,IMPO13548,8716909099,CNTRY846,36667.0,18445.0,91.0,5.0,0.0,False,2014-12-24
198389,2014,12,24,OFFICE204,IMPO12385,3215110000,CNTRY407,16.0,3.0,1.0,1121.0,0.0,False,2014-12-24
198390,2014,12,24,OFFICE186,IMPO12849,5407940000,CNTRY376,1306.0,1.0,22457.0,5.0,0.0,False,2014-12-24
198391,2014,12,24,OFFICE168,IMPO19604,3926909229,CNTRY123,21711.0,111.0,1624.0,5.0,0.0,False,2014-12-24
198392,2014,12,24,OFFICE237,IMPO19363,8708939009,CNTRY994,10080.0,3.0,2566.0,5.0,0.0,False,2014-12-24
198393,2014,12,24,OFFICE187,IMPO13823,8533210000,CNTRY485,1291.0,4.0,221.0,27.0,0.0,False,2014-12-24
198394,2014,12,24,OFFICE127,IMPO13823,8547200000,CNTRY846,25016.0,4019.0,819.0,5.0,0.0,False,2014-12-24
198395,2014,12,24,OFFICE168,IMPO18398,6406209000,CNTRY652,1464.0,432.0,1067.0,5.0,0.0,False,2014-12-24
198396,2014,12,24,OFFICE123,IMPO12318,5513290000,CNTRY215,12327.0,295.0,3.0,309.0,394.0,True,2014-12-24
198397,2014,12,24,OFFICE187,IMPO12977,5209220000,CNTRY215,4138.0,155.0,943.0,5.0,0.0,False,2014-12-24
198398,2014,12,24,OFFICE204,IMPO15859,8703229050,CNTRY825,321.0,231.0,451.0,5.0,0.0,False,2014-12-24
198399,2014,12,24,OFFICE187,IMPO18806,8609009090,CNTRY846,12667.0,123.0,2712.0,5.0,0.0,False,2014-12-24
198400,2014,12,24,OFFICE126,IMPO14954,9615190009,CNTRY976,158940.0,1555.0,86.0,565.0,99.0,True,2014-12-24
198401,2014,12,24,OFFICE168,IMPO16223,5601211010,CNTRY480,290.0,376.0,3845.0,857.0,454.0,True,2014-12-24
198402,2014,12,24,OFFICE109,IMPO16602,6111309000,CNTRY825,14475.0,1106.0,291.0,377.0,0.0,False,2014-12-24
198403,2014,12,24,OFFICE197,IMPO12592,8703239095,CNTRY680,265.0,234005.0,18.0,2838.0,0.0,False,2014-12-24
198404,2014,12,24,OFFICE127,IMPO11353,5806200000,CNTRY123,754.0,261.0,178.0,402.0,0.0,False,2014-12-24
198405,2014,12,24,OFFICE162,IMPO15533,4821909000,CNTRY846,394.0,316.0,1730.0,5.0,0.0,False,2014-12-24
198406,2014,12,24,OFFICE127,IMPO12343,8479908000,CNTRY846,18997.0,1.0,1.0,4479.0,0.0,False,2014-12-24
198407,2014,12,24,OFFICE237,IMPO18806,8716400009,CNTRY976,5371.0,168.0,681.0,5.0,0.0,False,2014-12-24
198408,2014,12,24,OFFICE187,IMPO17115,8609009090,CNTRY994,403.0,150.0,57.0,5.0,0.0,False,2014-12-24
198409,2014,12,24,OFFICE237,IMPO12865,4202329009,CNTRY825,4308.0,3.0,13900.0,1401.0,0.0,False,2014-12-24
198410,2014,12,24,OFFICE298,IMPO13980,4202199000,CNTRY994,1729.0,40079.0,329.0,440.0,0.0,False,2014-12-24
198411,2014,12,24,OFFICE162,IMPO11128,3920202100,CNTRY376,612.0,1.0,72.0,8211.0,0.0,False,2014-12-24
198412,2014,12,24,OFFICE117,IMPO19182,2403999005,CNTRY976,10030.0,11629.0,3576.0,5.0,0.0,False,2014-12-24
198413,2014,12,24,OFFICE168,IMPO19420,3926909799,CNTRY994,4556.0,963.0,1.0,5.0,0.0,False,2014-12-24
198414,2014,12,24,OFFICE168,IMPO11353,7326909889,CNTRY994,9264.0,445.0,1.0,5.0,0.0,False,2014-12-24
198415,2014,12,24,OFFICE109,IMPO11016,8547200000,CNTRY376,675.0,4.0,1.0,5.0,0.0,False,2014-12-24
198416,2014,12,24,OFFICE237,IMPO10316,8544300010,CNTRY976,69.0,17.0,4459.0,123.0,0.0,False,2014-12-24
198417,2014,12,24,OFFICE127,IMPO16962,8533900000,CNTRY652,3844.0,106.0,1.0,148.0,0.0,False,2014-12-24
198418,2014,12,24,OFFICE210,IMPO14730,8703319090,CNTRY846,10510.0,23.0,2930.0,5.0,0.0,False,2014-12-24
198419,2014,12,24,OFFICE296,IMPO19859,6403911600,CNTRY376,1457.0,24644.0,16.0,5.0,0.0,False,2014-12-24
198420,2014,12,24,OFFICE168,IMPO19420,7616999099,CNTRY825,534.0,3.0,4637.0,5.0,0.0,False,2014-12-24
198421,2014,12,24,OFFICE134,IMPO18328,8421310000,CNTRY976,1649.0,6192.0,1.0,482.0,0.0,False,2014-12-24
198422,2014,12,24,OFFICE246,IMPO11054,8482109000,CNTRY759,92.0,1.0,1.0,310.0,0.0,False,2014-12-24
198423,2014,12,24,OFFICE132,IMPO18445,8504408200,CNTRY713,2040.0,18272.0,88.0,5.0,0.0,False,2014-12-24
198424,2014,12,24,OFFICE185,IMPO12844,8409990003,CNTRY994,20.0,3.0,740.0,743.0,0.0,False,2014-12-24
198425,2014,12,24,OFFICE168,IMPO11316,8409990009,CNTRY680,364.0,1201.0,1.0,5.0,0.0,False,2014-12-24
198426,2014,12,24,OFFICE109,IMPO12506,4009320090,CNTRY454,11950.0,3.0,10779.0,69.0,0.0,False,2014-12-24
198427,2014,12,24,OFFICE168,IMPO17115,8609009090,CNTRY376,5265.0,17.0,840.0,5.0,0.0,False,2014-12-24
198428,2014,12,24,OFFICE214,IMPO15620,8504108009,CNTRY263,599.0,10480.0,20.0,13.0,63.0,True,2014-12-24
198429,2014,12,24,OFFICE168,IMPO19132,8609009090,CNTRY846,23655.0,40.0,3520.0,5.0,0.0,False,2014-12-24
